,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
1409,12574913.0,New building,Аннино,7.0,Moscow,2.0,79.5,43.5,9.9,5.0,22,Cosmetic
1410,210000000.0,Secondary,Арбатская,9.0,Moscow,6.0,300.0,153.8,20.0,4.0,6,Designer
1411,100000000.0,Secondary,Смоленская,8.0,Moscow,7.0,191.7,132.2,22.5,2.0,5,Designer
1412,13100000.0,Secondary,Народное Ополчение,22.0,Moscow,2.0,48.0,26.4,10.6,2.0,16,Cosmetic
1413,37000000.0,Secondary, Парк Культуры,8.0,Moscow,2.0,56.0,34.0,9.0,8.0,8,Designer
1414,12800000.0,Secondary,Сетунь,20.0,Moscow,2.0,55.6,29.3,10.0,2.0,16,Cosmetic
1415,5619893.0,New building,Битца,13.0,Moscow region,0.0,33.22,18.9,9.4,15.0,9,Cosmetic
1416,10701840.0,New building,Братиславская,13.0,Moscow,2.0,62.22,33.6,11.8,12.0,16,Cosmetic
1417,17800000.0,Secondary,Автозаводская,13.0,Moscow,1.0,42.2,23.5,10.0,11.0,12,European-style renovation
1418,5487266.0,New building,Домодедовская,8.0,Moscow region,1.0,36.84,20.8,9.7,8.0,15,Cosmetic
1419,9311000.0,Secondary,Калитники,8.0,Moscow,0.0,36.2,23.5,5.0,5.0,8,Without renovation
1420,6592600.0,New building,Красногвардейская,5.0,Moscow region,2.0,59.5,32.2,11.6,12.0,20,Cosmetic
1421,12800000.0,Secondary,Тимирязевская,10.0,Moscow,1.0,35.0,20.0,10.0,1.0,12,European-style renovation
1422,13122000.0,New building,Депо,19.0,Moscow,3.0,81.0,43.1,13.3,8.0,11,Cosmetic
1423,12119250.0,New building,Зябликово,9.0,Moscow region,3.0,85.8,47.4,14.0,6.0,14,Cosmetic
1424,11108980.0,New building,Депо,19.0,Moscow,2.0,62.41,32.7,10.7,11.0,11,Cosmetic
1425,87550000.0,Secondary,Минская,29.0,Moscow,3.0,138.0,86.9,16.0,10.0,53,Without renovation
1426,150794075.0,Secondary,Студенческая,9.0,Moscow,4.0,137.0,80.0,12.0,11.0,8,Designer
1427,85000000.0,Secondary, Минская,12.0,Moscow,4.0,133.0,69.4,17.6,21.0,44,Without renovation
1428,4972127.0,New building,Красногвардейская,16.0,Moscow region,2.0,33.88,23.3,3.0,13.0,20,Cosmetic
